[21:28:08.651] [INFO   ] thread main starting.
[21:28:08.663] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:28:26.920] [SEVERE ] updating countdown to 43887
[21:28:27.036] [SEVERE ] updating countdown to 43772
[21:28:27.139] [SEVERE ] updating countdown to 43668
[21:28:27.241] [SEVERE ] updating countdown to 43566
[21:28:27.349] [SEVERE ] updating countdown to 43458
[21:28:27.452] [SEVERE ] updating countdown to 43355
[21:28:27.570] [SEVERE ] updating countdown to 43237
[21:28:27.678] [SEVERE ] updating countdown to 43129
[21:28:27.786] [SEVERE ] updating countdown to 43021
[21:28:27.888] [SEVERE ] updating countdown to 42919
[21:28:27.995] [SEVERE ] updating countdown to 42812
[21:28:28.104] [SEVERE ] updating countdown to 42703
[21:28:28.207] [SEVERE ] updating countdown to 42600
[21:28:28.314] [SEVERE ] updating countdown to 42493
[21:28:28.421] [SEVERE ] updating countdown to 42386
[21:28:28.521] [SEVERE ] updating countdown to 42286
[21:28:28.632] [SEVERE ] updating countdown to 42175
[21:28:28.742] [SEVERE ] updating countdown to 42065
[21:28:28.848] [SEVERE ] updating countdown to 41959
[21:28:28.963] [SEVERE ] updating countdown to 41844
[21:28:29.066] [SEVERE ] updating countdown to 41741
[21:28:29.180] [SEVERE ] updating countdown to 41627
[21:28:29.288] [SEVERE ] updating countdown to 41519
[21:28:29.402] [SEVERE ] updating countdown to 41405
[21:28:29.509] [SEVERE ] updating countdown to 41298
[21:28:29.617] [SEVERE ] updating countdown to 41190
[21:28:29.724] [SEVERE ] updating countdown to 41083
[21:28:29.832] [SEVERE ] updating countdown to 40975
[21:28:29.938] [SEVERE ] updating countdown to 40869
[21:28:30.044] [SEVERE ] updating countdown to 40763
[21:28:30.152] [SEVERE ] updating countdown to 40655
[21:28:30.260] [SEVERE ] updating countdown to 40547
[21:28:30.375] [SEVERE ] updating countdown to 40432
[21:28:30.483] [SEVERE ] updating countdown to 40325
[21:28:30.597] [SEVERE ] updating countdown to 40210
[21:28:30.710] [SEVERE ] updating countdown to 40097
[21:28:30.816] [SEVERE ] updating countdown to 39991
[21:28:30.924] [SEVERE ] updating countdown to 39883
[21:28:31.038] [SEVERE ] updating countdown to 39769
[21:28:31.152] [SEVERE ] updating countdown to 39656
[21:28:31.262] [SEVERE ] updating countdown to 39545
[21:28:31.371] [SEVERE ] updating countdown to 39436
[21:28:31.486] [SEVERE ] updating countdown to 39322
[21:28:31.601] [SEVERE ] updating countdown to 39206
[21:28:31.716] [SEVERE ] updating countdown to 39091
[21:28:31.824] [SEVERE ] updating countdown to 38983
[21:28:31.939] [SEVERE ] updating countdown to 38868
[21:28:32.046] [SEVERE ] updating countdown to 38761
[21:28:32.154] [SEVERE ] updating countdown to 38653
[21:28:32.270] [SEVERE ] updating countdown to 38537
[21:28:32.377] [SEVERE ] updating countdown to 38430
[21:28:32.485] [SEVERE ] updating countdown to 38322
[21:28:32.590] [SEVERE ] updating countdown to 38217
[21:28:32.705] [SEVERE ] updating countdown to 38102
[21:28:32.811] [SEVERE ] updating countdown to 37996
[21:28:32.918] [SEVERE ] updating countdown to 37889
[21:28:33.034] [SEVERE ] updating countdown to 37773
[21:28:33.149] [SEVERE ] updating countdown to 37658
[21:28:33.256] [SEVERE ] updating countdown to 37551
[21:28:33.370] [SEVERE ] updating countdown to 37437
[21:28:33.472] [SEVERE ] updating countdown to 37335
[21:28:33.579] [SEVERE ] updating countdown to 37228
[21:28:33.691] [SEVERE ] updating countdown to 37116
[21:28:33.805] [SEVERE ] updating countdown to 37002
[21:28:33.911] [SEVERE ] updating countdown to 36896
[21:28:34.019] [SEVERE ] updating countdown to 36788
[21:28:34.127] [SEVERE ] updating countdown to 36680
[21:28:34.242] [SEVERE ] updating countdown to 36565
[21:28:34.350] [SEVERE ] updating countdown to 36457
[21:28:34.457] [SEVERE ] updating countdown to 36350
[21:28:34.570] [SEVERE ] updating countdown to 36237
[21:28:34.685] [SEVERE ] updating countdown to 36122
[21:28:34.800] [SEVERE ] updating countdown to 36007
[21:28:34.909] [SEVERE ] updating countdown to 35899
[21:28:35.015] [SEVERE ] updating countdown to 35792
[21:28:35.121] [SEVERE ] updating countdown to 35686
[21:28:35.227] [SEVERE ] updating countdown to 35580
[21:28:35.341] [SEVERE ] updating countdown to 35466
[21:28:35.443] [SEVERE ] updating countdown to 35364
[21:28:35.549] [SEVERE ] updating countdown to 35258
[21:28:35.651] [SEVERE ] updating countdown to 35156
[21:28:35.765] [SEVERE ] updating countdown to 35042
[21:28:35.876] [SEVERE ] updating countdown to 34931
[21:28:35.984] [SEVERE ] updating countdown to 34823
[21:28:36.090] [SEVERE ] updating countdown to 34717
[21:28:36.197] [SEVERE ] updating countdown to 34610
[21:28:36.312] [SEVERE ] updating countdown to 34495
[21:28:36.423] [SEVERE ] updating countdown to 34384
[21:28:36.524] [SEVERE ] updating countdown to 34283
[21:28:36.631] [SEVERE ] updating countdown to 34176
[21:28:36.745] [SEVERE ] updating countdown to 34062
[21:28:36.853] [SEVERE ] updating countdown to 33954
[21:28:36.960] [SEVERE ] updating countdown to 33848
[21:28:37.060] [SEVERE ] updating countdown to 33747
[21:28:37.176] [SEVERE ] updating countdown to 33632
[21:28:37.284] [SEVERE ] updating countdown to 33523
[21:28:37.399] [SEVERE ] updating countdown to 33408
[21:28:37.506] [SEVERE ] updating countdown to 33301
[21:28:37.621] [SEVERE ] updating countdown to 33186
[21:28:37.727] [SEVERE ] updating countdown to 33080
[21:28:37.834] [SEVERE ] updating countdown to 32973
[21:28:37.943] [SEVERE ] updating countdown to 32864
[21:28:38.056] [SEVERE ] updating countdown to 32751
[21:28:38.158] [SEVERE ] updating countdown to 32649
[21:28:38.261] [SEVERE ] updating countdown to 32546
[21:28:38.369] [SEVERE ] updating countdown to 32438
[21:28:38.483] [SEVERE ] updating countdown to 32325
[21:28:38.591] [SEVERE ] updating countdown to 32216
[21:28:38.692] [SEVERE ] updating countdown to 32115
[21:28:38.799] [SEVERE ] updating countdown to 32008
[21:28:38.899] [SEVERE ] updating countdown to 31908
[21:28:39.010] [SEVERE ] updating countdown to 31797
[21:28:39.112] [SEVERE ] updating countdown to 31695
[21:28:39.219] [SEVERE ] updating countdown to 31588
[21:28:39.324] [SEVERE ] updating countdown to 31483
[21:28:39.433] [SEVERE ] updating countdown to 31374
[21:28:39.539] [SEVERE ] updating countdown to 31268
[21:28:39.643] [SEVERE ] updating countdown to 31164
[21:28:39.752] [SEVERE ] updating countdown to 31055
[21:28:39.861] [SEVERE ] updating countdown to 30946
[21:28:39.973] [SEVERE ] updating countdown to 30834
[21:28:40.081] [SEVERE ] updating countdown to 30726
[21:28:40.188] [SEVERE ] updating countdown to 30619
[21:28:40.290] [SEVERE ] updating countdown to 30517
[21:28:40.392] [SEVERE ] updating countdown to 30415
[21:28:40.499] [SEVERE ] updating countdown to 30308
[21:28:40.610] [SEVERE ] updating countdown to 30197
[21:28:40.715] [SEVERE ] updating countdown to 30092
[21:28:40.829] [SEVERE ] updating countdown to 29978
[21:28:40.944] [SEVERE ] updating countdown to 29863
[21:28:41.059] [SEVERE ] updating countdown to 29748
[21:28:41.161] [SEVERE ] updating countdown to 29646
[21:28:41.263] [SEVERE ] updating countdown to 29544
[21:28:41.368] [SEVERE ] updating countdown to 29439
[21:28:41.476] [SEVERE ] updating countdown to 29331
[21:28:41.582] [SEVERE ] updating countdown to 29225
[21:28:41.691] [SEVERE ] updating countdown to 29116
[21:28:41.760] [SEVERE ] key 87 was pressed by player 1
[21:28:41.760] [SEVERE ] player 1 placing token on slot 1
[21:28:41.791] [SEVERE ] updating countdown to 29016
[21:28:41.899] [SEVERE ] updating countdown to 28908
[21:28:42.006] [SEVERE ] updating countdown to 28801
[21:28:42.116] [SEVERE ] updating countdown to 28691
[21:28:42.231] [SEVERE ] updating countdown to 28576
[21:28:42.334] [SEVERE ] updating countdown to 28473
[21:28:42.443] [SEVERE ] updating countdown to 28364
[21:28:42.552] [SEVERE ] updating countdown to 28255
[21:28:42.668] [SEVERE ] updating countdown to 28139
[21:28:42.778] [SEVERE ] updating countdown to 28029
[21:28:42.886] [SEVERE ] updating countdown to 27921
[21:28:43.001] [SEVERE ] updating countdown to 27806
[21:28:43.108] [SEVERE ] updating countdown to 27699
[21:28:43.216] [SEVERE ] updating countdown to 27591
[21:28:43.319] [SEVERE ] updating countdown to 27488
[21:28:43.424] [SEVERE ] updating countdown to 27383
[21:28:43.524] [SEVERE ] updating countdown to 27283
[21:28:43.633] [SEVERE ] updating countdown to 27174
[21:28:43.741] [SEVERE ] updating countdown to 27066
[21:28:43.845] [SEVERE ] updating countdown to 26962
[21:28:43.950] [SEVERE ] updating countdown to 26857
[21:28:44.059] [SEVERE ] updating countdown to 26748
[21:28:44.167] [SEVERE ] updating countdown to 26640
[21:28:44.276] [SEVERE ] updating countdown to 26531
[21:28:44.385] [SEVERE ] updating countdown to 26422
[21:28:44.490] [SEVERE ] updating countdown to 26317
[21:28:44.590] [SEVERE ] updating countdown to 26217
[21:28:44.696] [SEVERE ] updating countdown to 26111
[21:28:44.709] [SEVERE ] key 68 was pressed by player 1
[21:28:44.709] [SEVERE ] player 1 placing token on slot 6
[21:28:44.805] [SEVERE ] updating countdown to 26002
[21:28:44.912] [SEVERE ] updating countdown to 25895
[21:28:45.014] [SEVERE ] updating countdown to 25793
[21:28:45.056] [SEVERE ] key 70 was pressed by player 1
[21:28:45.056] [SEVERE ] player 1 placing token on slot 7
[21:28:45.056] [SEVERE ] updating countdown to 25751
[21:28:45.056] [SEVERE ] setting player 1 freeze to 0
[21:28:45.160] [SEVERE ] removing card from slot 1
[21:28:45.160] [SEVERE ] removing tokens from slot 1
[21:28:45.160] [SEVERE ] removing player 1 token from slot 1
[21:28:45.270] [SEVERE ] removing card from slot 6
[21:28:45.270] [SEVERE ] removing tokens from slot 6
[21:28:45.270] [SEVERE ] removing player 1 token from slot 6
[21:28:45.377] [SEVERE ] removing card from slot 7
[21:28:45.378] [SEVERE ] removing tokens from slot 7
[21:28:45.378] [SEVERE ] removing player 1 token from slot 7
[21:28:45.378] [SEVERE ] updating countdown to 60000
[21:28:45.485] [SEVERE ] placing card 8 in slot 1
[21:28:45.597] [SEVERE ] placing card 49 in slot 6
[21:28:45.701] [SEVERE ] placing card 75 in slot 7
[21:28:55.484] [SEVERE ] exit button pressed
[21:28:55.489] [INFO   ] thread player 0 terminated.
[21:28:55.489] [INFO   ] thread player 1 terminated.
[21:28:55.489] [SEVERE ] setting player 1 score to 1
[21:28:55.489] [SEVERE ] updating countdown to 49889
[21:28:55.489] [SEVERE ] removing card from slot 0
[21:28:55.489] [SEVERE ] removing tokens from slot 0
[21:28:55.598] [SEVERE ] removing card from slot 1
[21:28:55.598] [SEVERE ] removing tokens from slot 1
[21:28:55.706] [SEVERE ] removing card from slot 2
[21:28:55.706] [SEVERE ] removing tokens from slot 2
[21:28:55.812] [SEVERE ] removing card from slot 3
[21:28:55.812] [SEVERE ] removing tokens from slot 3
[21:28:55.927] [SEVERE ] removing card from slot 4
[21:28:55.928] [SEVERE ] removing tokens from slot 4
[21:28:56.042] [SEVERE ] removing card from slot 5
[21:28:56.042] [SEVERE ] removing tokens from slot 5
[21:28:56.151] [SEVERE ] removing card from slot 6
[21:28:56.151] [SEVERE ] removing tokens from slot 6
[21:28:56.255] [SEVERE ] removing card from slot 7
[21:28:56.255] [SEVERE ] removing tokens from slot 7
[21:28:56.369] [SEVERE ] removing card from slot 8
[21:28:56.369] [SEVERE ] removing tokens from slot 8
[21:28:56.471] [SEVERE ] removing card from slot 9
[21:28:56.471] [SEVERE ] removing tokens from slot 9
[21:28:56.587] [SEVERE ] removing card from slot 10
[21:28:56.587] [SEVERE ] removing tokens from slot 10
[21:28:56.695] [SEVERE ] removing card from slot 11
[21:28:56.695] [SEVERE ] removing tokens from slot 11
[21:28:56.695] [SEVERE ] announcing winner(s): player 1
[21:28:56.699] [INFO   ] thread dealer terminated.
[21:28:56.699] [INFO   ] thread dealer terminated.
[21:28:56.699] [SEVERE ] thanks for playing... it was fun!
[21:28:56.703] [INFO   ] thread main terminated.
